timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735227821185,4,GET /room/,200,,Admin makes a booking 1-33,text,true,,528,280,5,6,http://localhost:8080/room/,4,0,0
1735227821190,26,GET /report/,200,,Admin makes a booking 1-33,text,true,,4366,282,5,6,http://localhost:8080/report/,25,0,0
1735227822157,16,POST /auth/validate,200,,Admin makes a booking 1-34,,true,,133,344,5,6,http://localhost:8080/auth/validate,16,0,0
1735227822174,4,GET /message/count,200,,Admin makes a booking 1-34,text,true,,224,288,5,6,http://localhost:8080/message/count,4,0,0
1735227822699,7,GET /room/,200,,Admin makes a booking 1-31,text,true,,528,280,5,6,http://localhost:8080/room/,7,0,0
1735227822743,6,GET /branding/,200,,Guest makes a booking 2-36,text,true,,785,252,2,8,http://localhost:8080/branding/,6,0,0
1735227822728,22,POST /auth/login,200,,Admin makes a booking 1-36,,true,,177,332,6,8,http://localhost:8080/auth/login,22,0,1
1735227823269,20,POST /auth/validate,200,,Admin makes a booking 1-35,,true,,133,344,6,8,http://localhost:8080/auth/validate,20,0,0
1735227823290,4,GET /message/count,200,,Admin makes a booking 1-35,text,true,,224,288,6,8,http://localhost:8080/message/count,4,0,0
1735227823369,8,GET /report/room/1,200,,Guest makes a booking 2-35,text,true,,3618,256,2,8,http://localhost:8080/report/room/1,8,0,0
1735227823377,21,POST /booking/,409,,Guest makes a booking 2-35,text,false,,153,546,2,8,http://localhost:8080/booking/,21,0,0
1735227823973,4,GET /room/,200,,Admin makes a booking 1-32,text,true,,528,280,6,7,http://localhost:8080/room/,3,0,0
1735227824620,4,GET /room/,200,,Admin makes a booking 1-34,text,true,,528,280,6,7,http://localhost:8080/room/,4,0,0
1735227824624,29,GET /report/,200,,Admin makes a booking 1-34,text,true,,4366,282,6,7,http://localhost:8080/report/,29,0,0
1735227825587,4,GET /room/,200,,Guest makes a booking 2-36,text,true,,528,248,1,7,http://localhost:8080/room/,4,0,0
1735227825675,4,GET /room/,200,,Admin makes a booking 1-33,text,true,,528,280,6,7,http://localhost:8080/room/,4,0,0
1735227825743,5,GET /branding/,200,,Guest makes a booking 2-37,text,true,,785,252,2,9,http://localhost:8080/branding/,5,0,0
1735227825729,21,POST /auth/login,200,,Admin makes a booking 1-37,,true,,177,332,7,9,http://localhost:8080/auth/login,21,0,1
1735227825838,4,GET /room/,200,,Admin makes a booking 1-35,text,true,,528,280,7,9,http://localhost:8080/room/,4,0,0
1735227825843,34,GET /report/,200,,Admin makes a booking 1-35,text,true,,4366,282,7,9,http://localhost:8080/report/,34,0,0
1735227827052,9,GET /report/room/1,200,,Guest makes a booking 2-36,text,true,,3618,256,2,9,http://localhost:8080/report/room/1,9,0,0
